epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,406.68,1.4991,1.40465,1.64243,0.65639,0.61114,0.64632,0.30424,1.72305,1.61651,1.95558,0.0078715,0.0078715,0.0078715
45,415.467,1.49259,1.41384,1.64402,0.61931,0.6689,0.65442,0.31864,nan,nan,nan,0.007822,0.007822,0.007822
46,424.071,1.46809,1.37527,1.61441,0.70636,0.6017,0.65478,0.31641,nan,nan,nan,0.0077725,0.0077725,0.0077725
47,433.382,1.46897,1.36613,1.61854,0.74994,0.60026,0.68016,0.38178,1.56226,1.48143,1.80535,0.007723,0.007723,0.007723
48,442.747,1.46951,1.35641,1.61382,0.61191,0.62009,0.60987,0.28815,nan,nan,nan,0.0076735,0.0076735,0.0076735
49,452.329,1.46156,1.33894,1.60373,0.72696,0.6066,0.66229,0.34194,1.66927,1.45789,1.88732,0.007624,0.007624,0.007624
50,461.432,1.45474,1.34803,1.62162,0.64566,0.67066,0.68923,0.37164,1.55277,1.46177,1.82067,0.0075745,0.0075745,0.0075745
51,470.875,1.45375,1.34182,1.61158,0.68805,0.61083,0.63654,0.33711,nan,nan,nan,0.007525,0.007525,0.007525
52,480.066,1.44442,1.32417,1.60548,0.62503,0.70618,0.71675,0.3423,1.69197,1.51626,1.93978,0.0074755,0.0074755,0.0074755
53,489.225,1.44243,1.30695,1.59688,0.67432,0.6261,0.66529,0.32875,1.66416,1.56654,1.91809,0.007426,0.007426,0.007426
54,498.582,1.42783,1.31688,1.59484,0.67675,0.66619,0.68572,0.38947,1.50476,1.42322,1.77544,0.0073765,0.0073765,0.0073765
55,507.912,1.4119,1.28338,1.58193,0.61817,0.68694,0.68094,0.37508,1.59374,1.45707,1.80949,0.007327,0.007327,0.007327
56,517.173,1.40896,1.28645,1.56922,0.67061,0.69207,0.72119,0.38441,1.57822,1.4199,1.82443,0.0072775,0.0072775,0.0072775
57,526.032,1.40466,1.26456,1.57635,0.8093,0.61099,0.65562,0.3627,nan,nan,nan,0.007228,0.007228,0.007228
58,534.652,1.40385,1.27431,1.57451,0.61283,0.70154,0.69883,0.39871,nan,nan,nan,0.0071785,0.0071785,0.0071785
59,543.635,1.38884,1.25274,1.56463,0.62889,0.66554,0.67312,0.33508,1.72258,1.50857,1.96901,0.007129,0.007129,0.007129
60,552.852,1.3984,1.28578,1.57768,0.6725,0.66576,0.68848,0.34867,1.62633,1.46932,1.90752,0.0070795,0.0070795,0.0070795
61,561.681,1.38492,1.23756,1.56753,0.67891,0.63862,0.70682,0.38181,1.56044,1.4154,1.80093,0.00703,0.00703,0.00703
62,570.891,1.38312,1.22682,1.5687,0.73761,0.58781,0.65696,0.30848,nan,nan,nan,0.0069805,0.0069805,0.0069805
63,580.266,1.39495,1.23564,1.5603,0.74164,0.67785,0.73917,0.39594,1.53563,1.37128,1.79614,0.006931,0.006931,0.006931
64,589.522,1.37369,1.22811,1.56025,0.7401,0.65318,0.71338,0.40576,1.54384,1.36323,1.77411,0.0068815,0.0068815,0.0068815
65,598.943,1.39389,1.24608,1.56484,0.68252,0.67775,0.72777,0.38863,1.59337,1.33468,1.8125,0.006832,0.006832,0.006832
66,608.017,1.36369,1.20464,1.5335,0.63612,0.67725,0.70391,0.33827,1.74705,1.41995,1.99495,0.0067825,0.0067825,0.0067825
67,617.229,1.34776,1.20094,1.52553,0.68499,0.68579,0.71301,0.37521,1.5975,1.38517,1.83482,0.006733,0.006733,0.006733
68,626.283,1.35909,1.20301,1.53148,0.68075,0.66411,0.70505,0.38983,1.55818,1.41878,1.79627,0.0066835,0.0066835,0.0066835
