epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,213.384,1.89247,1.5266,1.76644,0.7725,0.46824,0.53377,0.25026,2.18686,1.77283,2.1314,0.007921,0.007921,0.007921
44,218.066,1.91317,1.52111,1.76852,0.77926,0.50702,0.58992,0.29124,2.00368,1.65208,1.99912,0.0078715,0.0078715,0.0078715
45,222.742,1.88874,1.52006,1.76828,0.65223,0.51183,0.53608,0.26407,2.09037,1.68885,2.06193,0.007822,0.007822,0.007822
46,227.417,1.92941,1.5155,1.76122,0.74829,0.54244,0.59227,0.30652,2.00084,1.60366,2.0029,0.0077725,0.0077725,0.0077725
47,232.172,1.87703,1.48047,1.74433,0.76732,0.47858,0.55602,0.27366,2.05598,1.678,2.04721,0.007723,0.007723,0.007723
48,236.834,1.87376,1.49016,1.73979,0.75619,0.49932,0.57258,0.27566,2.05428,1.70063,2.02225,0.0076735,0.0076735,0.0076735
49,241.684,1.86755,1.4752,1.72635,0.68611,0.52758,0.57119,0.28556,2.07647,1.64861,2.12091,0.007624,0.007624,0.007624
50,246.365,1.8603,1.48762,1.75192,0.73999,0.53877,0.59062,0.30008,2.11896,1.62458,2.10514,0.0075745,0.0075745,0.0075745
51,251.064,1.88903,1.49573,1.75054,0.74147,0.48806,0.56128,0.28602,2.04261,1.68785,2.04813,0.007525,0.007525,0.007525
52,255.755,1.86184,1.47962,1.7333,0.63437,0.42477,0.45187,0.20056,2.32741,2.0841,2.25936,0.0074755,0.0074755,0.0074755
53,260.673,1.8608,1.4643,1.73273,0.78015,0.51602,0.56495,0.27798,2.17791,1.74217,2.12565,0.007426,0.007426,0.007426
54,265.353,1.88804,1.49028,1.75314,0.76504,0.55721,0.61648,0.30458,2.01073,1.60413,2.02766,0.0073765,0.0073765,0.0073765
55,270.163,1.85335,1.47189,1.72553,0.7624,0.48186,0.57704,0.2857,2.05625,1.63292,2.045,0.007327,0.007327,0.007327
