epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,392.284,0.85552,1.21685,1.33039,0.61995,0.68402,0.65898,0.49743,0.88895,1.43424,1.63641,0.007921,0.007921,0.007921
44,401.212,0.8723,1.20318,1.33296,0.73958,0.73121,0.74888,0.60018,0.88165,1.34329,1.59131,0.0078715,0.0078715,0.0078715
45,410.158,0.8757,1.20066,1.32986,0.75769,0.77615,0.81193,0.63029,0.88991,1.16698,1.60515,0.007822,0.007822,0.007822
46,419.158,0.82935,1.14359,1.2873,0.77735,0.7126,0.7885,0.58073,0.96767,1.64513,1.7158,0.0077725,0.0077725,0.0077725
47,427.335,0.86319,1.18666,1.31712,0.72159,0.74176,0.73185,0.58183,0.88001,1.38131,1.61133,0.007723,0.007723,0.007723
48,436.446,0.83719,1.17509,1.30859,0.77309,0.7554,0.79344,0.62284,0.86712,1.26979,1.60719,0.0076735,0.0076735,0.0076735
49,445.543,0.835,1.16829,1.30144,0.71375,0.7035,0.75452,0.54612,1.00898,1.3983,1.71323,0.007624,0.007624,0.007624
50,454.538,0.85511,1.21094,1.3357,0.78251,0.75784,0.8189,0.66087,0.82125,1.21449,1.57687,0.0075745,0.0075745,0.0075745
51,463.428,0.85378,1.19914,1.32349,0.71708,0.75579,0.75718,0.60413,0.85518,1.40291,1.60223,0.007525,0.007525,0.007525
52,472.579,0.82856,1.16263,1.29848,0.82347,0.75682,0.83079,0.64618,0.87061,1.30025,1.59687,0.0074755,0.0074755,0.0074755
53,481.603,0.82161,1.12039,1.28405,0.69826,0.73147,0.74372,0.54143,1.04919,1.31418,1.72804,0.007426,0.007426,0.007426
54,490.48,0.82642,1.16077,1.30183,0.55392,0.65063,0.60011,0.47775,0.84608,1.42962,1.61334,0.0073765,0.0073765,0.0073765
55,499.571,0.82605,1.1485,1.30549,0.81696,0.7118,0.79764,0.61526,0.93821,1.41645,1.61212,0.007327,0.007327,0.007327
56,508.333,0.81909,1.14142,1.29127,0.69594,0.73192,0.73682,0.55644,0.94395,1.23098,1.63233,0.0072775,0.0072775,0.0072775
57,517.394,0.81573,1.1425,1.29168,0.65263,0.72511,0.70338,0.52173,0.94141,1.42444,1.67907,0.007228,0.007228,0.007228
58,526.262,0.81316,1.13305,1.28427,0.77046,0.76626,0.78313,0.64731,0.77213,1.22786,1.52999,0.0071785,0.0071785,0.0071785
59,535.102,0.80097,1.10372,1.27524,0.76786,0.74535,0.78598,0.61393,0.87824,1.35321,1.59543,0.007129,0.007129,0.007129
60,543.827,0.81011,1.1299,1.28957,0.70695,0.72059,0.72266,0.54401,0.93908,1.32559,1.64883,0.0070795,0.0070795,0.0070795
61,552.667,0.81489,1.12858,1.2933,0.80045,0.73832,0.80779,0.60764,1.01122,1.23448,1.70664,0.00703,0.00703,0.00703
62,561.525,0.78756,1.11249,1.27045,0.70552,0.76543,0.76742,0.58837,0.98241,1.16474,1.6918,0.0069805,0.0069805,0.0069805
