epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.71158,4.80981,4.00481,3.79822,0,0,0,0,4.50811,4.29457,3.67727,0.0032963,0.0032963,0.0703333
2,19.1156,4.22705,3.07244,2.95772,0.00848,0.06902,0.00336,0.00112,4.2382,5.01051,3.66253,0.00659681,0.00659681,0.0403005
3,28.3207,3.9155,2.99545,2.74489,0.67785,0.02174,0.00781,0.00212,4.20896,6.24875,4.15797,0.00986433,0.00986433,0.0102347
4,37.2802,3.65601,2.85772,2.58163,0.22669,0.12025,0.04884,0.01253,3.91602,4.43043,3.28136,0.0098515,0.0098515,0.0098515
5,46.5181,3.45013,2.73055,2.49259,0.5733,0.07672,0.05792,0.01583,3.7589,5.25972,3.17954,0.009802,0.009802,0.009802
6,55.6497,3.2121,2.50116,2.30661,0.26267,0.23899,0.11518,0.03326,3.32598,2.66943,2.80741,0.0097525,0.0097525,0.0097525
7,65.0168,3.01676,2.34638,2.18929,0.35426,0.22129,0.16461,0.04958,3.07115,3.02203,2.63752,0.009703,0.009703,0.009703
8,74.6559,2.87357,2.27057,2.1438,0.34524,0.25698,0.19134,0.05768,3.0053,2.65817,2.59055,0.0096535,0.0096535,0.0096535
9,83.8366,2.73528,2.19439,2.08646,0.22063,0.27789,0.20623,0.06467,2.86281,2.82446,2.46621,0.009604,0.009604,0.009604
10,92.7969,2.6569,2.14955,2.0307,0.41543,0.33988,0.26458,0.08107,2.58661,2.58742,2.31117,0.0095545,0.0095545,0.0095545
11,101.985,2.56866,2.08755,1.99817,0.46923,0.23471,0.21642,0.07488,2.71003,2.60946,2.38515,0.009505,0.009505,0.009505
12,110.805,2.52546,2.04222,1.93965,0.51703,0.34196,0.35033,0.12207,2.32902,2.43483,2.16726,0.0094555,0.0094555,0.0094555
13,119.721,2.45083,1.99599,1.89399,0.53187,0.31569,0.30274,0.10556,2.3909,2.29774,2.22722,0.009406,0.009406,0.009406
14,128.554,2.39309,1.97222,1.88212,0.52276,0.36294,0.3483,0.13041,2.26959,2.17162,2.12508,0.0093565,0.0093565,0.0093565
15,137.502,2.37068,1.93511,1.84437,0.48867,0.38462,0.34909,0.13284,2.20942,2.2363,2.08193,0.009307,0.009307,0.009307
16,145.68,2.3092,1.8985,1.83149,0.52294,0.39382,0.39336,0.16501,2.19221,2.14346,2.08893,0.0092575,0.0092575,0.0092575
17,154.228,2.28923,1.87239,1.80182,0.51581,0.41973,0.37952,0.14385,2.17363,2.08341,2.06272,0.009208,0.009208,0.009208
18,161.64,2.27121,1.85512,1.7844,0.4977,0.3981,0.34922,0.14824,2.17518,2.05888,2.05377,0.0091585,0.0091585,0.0091585
19,168.994,2.24286,1.83387,1.78102,0.60932,0.28744,0.38386,0.15732,2.15352,2.02978,2.1038,0.009109,0.009109,0.009109
20,176.171,2.24493,1.8404,1.78992,0.37497,0.4958,0.41789,0.17202,2.12345,2.01636,1.99933,0.0090595,0.0090595,0.0090595
21,183.818,2.21168,1.79994,1.73784,0.39356,0.43651,0.39349,0.15725,2.11949,2.01146,2.05823,0.00901,0.00901,0.00901
22,192.865,2.17188,1.78353,1.73491,0.53216,0.47392,0.41017,0.18383,2.21594,1.91057,2.05949,0.0089605,0.0089605,0.0089605
23,201.996,2.15849,1.77158,1.71998,0.62973,0.44718,0.46456,0.20169,2.0011,1.82685,1.93824,0.008911,0.008911,0.008911
24,209.9,2.16873,1.77279,1.71605,0.66892,0.40315,0.44518,0.19601,2.03289,1.84265,1.94818,0.0088615,0.0088615,0.0088615
25,217.751,2.14498,1.75625,1.71842,0.35745,0.53384,0.45367,0.19627,1.99665,1.80441,1.95256,0.008812,0.008812,0.008812
26,225.912,2.1387,1.75876,1.70306,0.58937,0.42443,0.4724,0.20874,1.98574,1.81771,1.94957,0.0087625,0.0087625,0.0087625
27,233.615,2.09995,1.72618,1.68263,0.60749,0.45012,0.45907,0.20748,2.10852,1.91019,1.95977,0.008713,0.008713,0.008713
28,241.81,2.10018,1.70693,1.68468,0.41169,0.46301,0.44982,0.20301,2.04928,1.98512,1.95536,0.0086635,0.0086635,0.0086635
29,248.985,2.08167,1.72638,1.67877,0.40878,0.48588,0.45077,0.2092,2.00166,1.88722,1.92934,0.008614,0.008614,0.008614
30,257.869,2.08604,1.71454,1.676,0.39842,0.5425,0.4826,0.2262,1.93363,1.77585,1.87226,0.0085645,0.0085645,0.0085645
31,266.369,2.06442,1.69333,1.65644,0.47312,0.52787,0.4964,0.21682,2.02636,1.7627,1.93627,0.008515,0.008515,0.008515
32,273.454,2.05104,1.69018,1.66346,0.46937,0.47395,0.51292,0.22851,1.9466,1.78199,1.88605,0.0084655,0.0084655,0.0084655
33,280.608,2.05872,1.66579,1.65905,0.51538,0.47365,0.50715,0.23685,1.89736,1.7228,1.85514,0.008416,0.008416,0.008416
34,287.396,2.00866,1.66791,1.63921,0.64487,0.44027,0.48803,0.21315,1.96864,1.72713,1.88032,0.0083665,0.0083665,0.0083665
35,294.073,2.01836,1.66522,1.63309,0.46827,0.55614,0.50693,0.23114,1.99848,1.71446,1.90804,0.008317,0.008317,0.008317
36,303.214,2.02657,1.6469,1.62674,0.41592,0.44252,0.40595,0.18016,2.12752,2.1378,1.97082,0.0082675,0.0082675,0.0082675
37,310.881,2.00743,1.64865,1.62634,0.48735,0.51661,0.53806,0.26071,1.81732,1.66843,1.8301,0.008218,0.008218,0.008218
