epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,387.023,1.36315,1.1984,1.58107,0.55972,0.68379,0.6507,0.3245,1.66439,1.42108,1.97083,0.007921,0.007921,0.007921
44,396.88,1.37456,1.18448,1.5781,0.6777,0.72918,0.75541,0.42195,1.53842,1.2454,1.87797,0.0078715,0.0078715,0.0078715
45,406.095,1.38601,1.19858,1.58775,0.62847,0.69664,0.70446,0.37753,1.5608,1.3533,1.89319,0.007822,0.007822,0.007822
46,414.897,1.34536,1.15582,1.5452,0.67872,0.71293,0.74436,0.40715,1.58934,1.28819,1.91299,0.0077725,0.0077725,0.0077725
47,424.412,1.33953,1.14552,1.55028,0.71002,0.72055,0.74132,0.43507,1.49728,1.2404,1.82705,0.007723,0.007723,0.007723
48,433.824,1.3592,1.16079,1.55348,0.72774,0.69442,0.72986,0.41958,1.55564,1.27916,1.90722,0.0076735,0.0076735,0.0076735
49,443.14,1.35807,1.15248,1.55465,0.53225,0.67906,0.64646,0.35976,1.611,1.38245,1.92049,0.007624,0.007624,0.007624
50,452.613,1.34206,1.16769,1.56456,0.71507,0.69883,0.73447,0.41415,1.56262,1.27007,1.90065,0.0075745,0.0075745,0.0075745
51,462.032,1.34124,1.15343,1.54751,0.69159,0.68031,0.70987,0.40586,1.49513,1.30529,1.84431,0.007525,0.007525,0.007525
52,471.504,1.33332,1.14238,1.55082,0.66976,0.695,0.71285,0.39422,1.6024,1.30718,1.97245,0.0074755,0.0074755,0.0074755
53,480.773,1.34082,1.13353,1.55281,0.73308,0.67335,0.73435,0.41062,1.56148,1.3321,1.91843,0.007426,0.007426,0.007426
54,490.091,1.33366,1.14804,1.54803,0.69432,0.72667,0.76049,0.44543,1.46164,1.23637,1.80988,0.0073765,0.0073765,0.0073765
55,499.398,1.30652,1.11281,1.53424,0.69179,0.71196,0.73583,0.41055,1.55107,1.28419,1.86206,0.007327,0.007327,0.007327
56,508.785,1.30205,1.11114,1.51818,0.71365,0.68973,0.7283,0.42391,1.51609,1.24578,1.85892,0.0072775,0.0072775,0.0072775
57,517.913,1.29441,1.08167,1.52125,0.72661,0.70324,0.73021,0.41714,1.5759,1.28253,1.89302,0.007228,0.007228,0.007228
58,526.995,1.31125,1.09526,1.53035,0.73127,0.71788,0.76885,0.44587,1.4672,1.20776,1.8318,0.0071785,0.0071785,0.0071785
59,536.366,1.28929,1.08665,1.51449,0.66048,0.68306,0.69792,0.40165,1.59813,1.32387,1.9376,0.007129,0.007129,0.007129
60,545.276,1.30567,1.10635,1.53055,0.78828,0.67956,0.76047,0.41487,1.54924,1.23252,1.89745,0.0070795,0.0070795,0.0070795
61,554.209,1.29271,1.0906,1.52365,0.68909,0.68152,0.72328,0.40815,1.55715,1.28955,1.86897,0.00703,0.00703,0.00703
62,563.294,1.29566,1.081,1.53441,0.72621,0.7119,0.76199,0.42939,1.52169,1.20845,1.85964,0.0069805,0.0069805,0.0069805
63,572.257,1.29163,1.091,1.51106,0.71571,0.67124,0.7377,0.42369,1.54153,1.23351,1.88626,0.006931,0.006931,0.006931
64,581.115,1.27814,1.07727,1.51406,0.74002,0.70861,0.76821,0.4488,1.5166,1.21588,1.88489,0.0068815,0.0068815,0.0068815
65,590.245,1.30206,1.09328,1.53162,0.76469,0.72822,0.77694,0.45395,1.4577,1.19152,1.8111,0.006832,0.006832,0.006832
66,599.336,1.27852,1.06275,1.49665,0.76685,0.72451,0.76729,0.43531,1.50698,1.16269,1.8257,0.0067825,0.0067825,0.0067825
67,608.432,1.2535,1.06219,1.48816,0.67615,0.70657,0.73828,0.42685,1.57812,1.20857,1.89632,0.006733,0.006733,0.006733
68,617.226,1.26953,1.06839,1.50053,0.73981,0.71709,0.76423,0.44161,1.46138,1.20597,1.78919,0.0066835,0.0066835,0.0066835
69,626.074,1.255,1.04946,1.49269,0.72922,0.76131,0.79379,0.46198,1.46416,1.1763,1.78817,0.006634,0.006634,0.006634
70,635.115,1.28999,1.08997,1.52826,0.67873,0.68743,0.73052,0.40967,1.5533,1.27868,1.86696,0.0065845,0.0065845,0.0065845
71,643.677,1.25342,1.04738,1.49322,0.73784,0.74006,0.75825,0.44132,1.49035,1.19176,1.82981,0.006535,0.006535,0.006535
72,652.653,1.25683,1.04297,1.48981,0.72749,0.69036,0.73852,0.43601,1.47949,1.18689,1.84216,0.0064855,0.0064855,0.0064855
73,660.105,1.26862,1.06381,1.49359,0.7842,0.67665,0.75673,0.44029,1.53707,1.17843,1.87758,0.006436,0.006436,0.006436
74,669.723,1.24152,1.04974,1.48176,0.67126,0.74616,0.75177,0.4398,1.51695,1.19061,1.85089,0.0063865,0.0063865,0.0063865
75,678.962,1.25204,1.06182,1.48743,0.71866,0.70016,0.74053,0.43244,1.48841,1.20673,1.81929,0.006337,0.006337,0.006337
76,688.247,1.24552,1.02946,1.47694,0.67345,0.70414,0.72169,0.42046,1.53688,1.24363,1.82893,0.0062875,0.0062875,0.0062875
77,697.325,1.25092,1.03456,1.4817,0.7371,0.76873,0.79204,0.45144,1.49836,1.16787,1.8601,0.006238,0.006238,0.006238
78,706.655,1.25597,1.05057,1.50448,0.77223,0.73251,0.77575,0.44719,1.50695,1.1398,1.86925,0.0061885,0.0061885,0.0061885
79,715.713,1.23773,1.01868,1.46425,0.69863,0.75304,0.76735,0.43762,1.53951,1.17844,1.87515,0.006139,0.006139,0.006139
80,724.764,1.23483,1.03074,1.47316,0.7753,0.7163,0.77043,0.45508,1.47087,1.18043,1.84646,0.0060895,0.0060895,0.0060895
81,734.102,1.24576,1.0226,1.47778,0.67586,0.74854,0.7483,0.41055,1.59655,1.23949,1.91475,0.00604,0.00604,0.00604
