epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,200.095,1.37644,1.24184,1.58555,0.69995,0.66037,0.70438,0.37507,1.61172,1.37492,1.91869,0.007921,0.007921,0.007921
44,203.734,1.39468,1.22662,1.58634,0.63956,0.70151,0.7325,0.39206,1.52355,1.36311,1.84005,0.0078715,0.0078715,0.0078715
45,207.975,1.38934,1.23356,1.59394,0.70963,0.69807,0.73443,0.3902,1.54019,1.3178,1.8371,0.007822,0.007822,0.007822
46,211.7,1.36164,1.2057,1.55914,0.68818,0.69821,0.73892,0.41126,1.49518,1.34209,1.82702,0.0077725,0.0077725,0.0077725
47,215.486,1.35567,1.18612,1.55697,0.59313,0.71976,0.71402,0.41513,1.4752,1.30569,1.80084,0.007723,0.007723,0.007723
48,219.256,1.37538,1.19796,1.56132,0.68506,0.66079,0.71422,0.37871,1.56964,1.40942,1.85976,0.0076735,0.0076735,0.0076735
49,223.873,1.36659,1.18503,1.55669,0.6962,0.69481,0.73838,0.40441,1.54092,1.29096,1.85923,0.007624,0.007624,0.007624
50,229.124,1.34966,1.20075,1.57261,0.71225,0.72348,0.75949,0.41022,1.54225,1.28441,1.85728,0.0075745,0.0075745,0.0075745
51,234.318,1.35551,1.1864,1.56034,0.65304,0.67755,0.7294,0.39635,1.5275,1.3552,1.82311,0.007525,0.007525,0.007525
52,239.547,1.33328,1.17442,1.54622,0.70753,0.68284,0.72596,0.41718,1.52041,1.3159,1.85022,0.0074755,0.0074755,0.0074755
53,245.082,1.35686,1.16749,1.55646,0.70835,0.73311,0.75374,0.41901,1.48401,1.28672,1.81777,0.007426,0.007426,0.007426
54,249.967,1.34053,1.17459,1.55609,0.70078,0.73913,0.78106,0.4532,1.43671,1.23679,1.753,0.0073765,0.0073765,0.0073765
55,255.085,1.32164,1.13649,1.54013,0.70583,0.70392,0.74188,0.42251,1.47634,1.26531,1.79323,0.007327,0.007327,0.007327
56,260.289,1.33318,1.14435,1.53081,0.70955,0.69153,0.74137,0.42107,1.46629,1.28895,1.79323,0.0072775,0.0072775,0.0072775
57,265.556,1.32517,1.12137,1.53586,0.69834,0.69452,0.74338,0.42662,1.49149,1.24577,1.79764,0.007228,0.007228,0.007228
58,270.923,1.32285,1.13274,1.53181,0.70841,0.70167,0.74193,0.43598,1.47601,1.26925,1.79344,0.0071785,0.0071785,0.0071785
59,275.963,1.30733,1.13279,1.52322,0.72508,0.69256,0.74177,0.41845,1.51137,1.24077,1.8509,0.007129,0.007129,0.007129
60,280.768,1.32111,1.1455,1.54069,0.75651,0.70059,0.76738,0.44544,1.47288,1.23187,1.77572,0.0070795,0.0070795,0.0070795
61,285.636,1.31459,1.13287,1.5298,0.6453,0.74789,0.74688,0.42471,1.50346,1.22755,1.78519,0.00703,0.00703,0.00703
62,290.606,1.31389,1.12335,1.53696,0.68853,0.68013,0.73738,0.4332,1.47794,1.2238,1.79394,0.0069805,0.0069805,0.0069805
63,295.835,1.32495,1.11429,1.52974,0.65407,0.71767,0.75626,0.44942,1.43088,1.26561,1.74282,0.006931,0.006931,0.006931
64,300.956,1.3048,1.09836,1.52902,0.7156,0.72491,0.75841,0.43718,1.48201,1.21432,1.79738,0.0068815,0.0068815,0.0068815
65,306.636,1.32011,1.13468,1.53718,0.75302,0.69825,0.76151,0.45699,1.39159,1.2391,1.72014,0.006832,0.006832,0.006832
66,311.71,1.29223,1.09187,1.49646,0.74338,0.68264,0.75391,0.45484,1.45159,1.18481,1.74802,0.0067825,0.0067825,0.0067825
67,316.77,1.27715,1.09039,1.49599,0.69727,0.66526,0.71651,0.44119,1.44603,1.23049,1.74624,0.006733,0.006733,0.006733
68,322.081,1.29078,1.09329,1.50871,0.67224,0.70127,0.73079,0.43043,1.47531,1.26862,1.75649,0.0066835,0.0066835,0.0066835
69,327.4,1.26862,1.07616,1.49543,0.75361,0.75204,0.80724,0.48265,1.38809,1.1754,1.70251,0.006634,0.006634,0.006634
70,332.706,1.30755,1.10818,1.52878,0.71137,0.71584,0.75538,0.43394,1.49784,1.24441,1.78992,0.0065845,0.0065845,0.0065845
71,337.921,1.26351,1.07731,1.49568,0.73659,0.72984,0.78465,0.44875,1.46465,1.18965,1.76179,0.006535,0.006535,0.006535
72,343.097,1.28766,1.06664,1.50138,0.66557,0.75484,0.76728,0.45787,1.42811,1.19461,1.74494,0.0064855,0.0064855,0.0064855
73,348.209,1.2971,1.08917,1.50701,0.72107,0.72452,0.77702,0.4658,1.41546,1.17631,1.75464,0.006436,0.006436,0.006436
74,353.288,1.25455,1.07319,1.48244,0.66457,0.73573,0.74782,0.42564,1.50015,1.24371,1.81953,0.0063865,0.0063865,0.0063865
75,358.316,1.28031,1.08847,1.50275,0.72962,0.74111,0.79495,0.45869,1.41497,1.17767,1.74816,0.006337,0.006337,0.006337
76,363.24,1.25382,1.04485,1.47709,0.71921,0.72394,0.79031,0.46379,1.46018,1.16396,1.74452,0.0062875,0.0062875,0.0062875
77,368.317,1.27682,1.05932,1.49423,0.76489,0.69581,0.78,0.45941,1.46928,1.17748,1.76419,0.006238,0.006238,0.006238
